layer,alpha,mean_d_loss,std_d_loss,mean_mean_logit_delta,std_mean_logit_delta,mean_kl_avg,std_kl_avg,mean_firing_rate,std_firing_rate,mean_mean_act,std_mean_act,max_max_act
3,1.0,0.6673773050308227,0.0,-2.0900572419166563,0.0,0.6586135894060134,0.0,0.6000625000009313,0.5476369869994663,0.00018224938627099617,0.0004075220165595644,0.37395283579826355
3,2.0,0.6673805665969847,7.293083651623176e-06,-2.090060029029846,6.232174553272651e-06,0.6586148756742477,2.876183209093967e-06,0.6000625000009313,0.5476369869994663,0.00018224938627099617,0.0004075220165595644,0.37395283579826355
3,4.0,0.6673877096176147,2.3265363344696373e-05,-2.0900670981407163,2.203918699988949e-05,0.6586179095506668,9.660137117472618e-06,0.6000625000009313,0.5476369869994663,0.00018224938627099617,0.0004075220165595644,0.37395283579826355
4,0.0,0.5110991048812866,0.0025152187551436057,-1.5910089576244355,0.013761595703280774,0.4953893804550171,0.003878811063135936,0.4025153147097444,0.5454499109480959,0.8634513557852188,1.9305267944951265,348.9607177734375
4,0.5,0.513228554725647,0.007276946148110971,-1.5874997448921202,0.0059154538705282495,0.4968519312143326,0.007149582049488577,0.4025153147097444,0.5454499109480959,0.8634513557852188,1.9305267944951265,348.9607177734375
4,1.0,0.5099741220474243,0.0,-1.584854120016098,0.0,0.4936543583869934,0.0,0.4025153147097444,0.5454499109480959,0.8634513557852188,1.9305267944951265,348.9607177734375
4,2.0,0.506636643409729,0.007461976246430053,-1.5818305516242979,0.0067611843916870595,0.4904020234942436,0.007271642268734297,0.4025153147097444,0.5454499109480959,0.8634513557852188,1.9305267944951265,348.9607177734375
4,4.0,0.5050395822525025,0.011029915301168989,-1.5788684833049773,0.01338885961656434,0.48878975778818134,0.01087535032897558,0.4025153147097444,0.5454499109480959,0.8634513557852188,1.9305267944951265,348.9607177734375
5,0.0,0.4738266324996948,1.2235608030233081e-05,-1.4149021470546723,5.103373521896787e-05,0.4354554823040962,3.655011635848937e-05,0.4001626612036489,0.5475741694872823,0.003934524306096136,0.006806854894606362,5.945030343532562
5,0.5,0.4738211488723755,4.179253955723797e-06,-1.4148871862888337,9.49432730620201e-06,0.43544454157352447,1.3847942387276567e-05,0.4001626612036489,0.5475741694872823,0.003934524306096136,0.006806854894606362,5.945030343532562
5,1.0,0.4738182306289673,0.0,-1.4148884296417237,0.0,0.43543770611286164,0.0,0.4001626612036489,0.5475741694872823,0.003934524306096136,0.006806854894606362,5.945030343532562
5,2.0,0.473818621635437,1.1118304766259529e-05,-1.41491650223732,4.4009080569859715e-05,0.4354293578863144,1.6769151815554717e-05,0.4001626612036489,0.5475741694872823,0.003934524306096136,0.006806854894606362,5.945030343532562
5,4.0,0.4738330602645874,5.638748090368463e-05,-1.4150758922100066,0.0003526956856695074,0.43544032961130147,8.974125797702776e-06,0.4001626612036489,0.5475741694872823,0.003934524306096136,0.006806854894606362,5.945030343532562
6,0.0,0.3931735563278198,2.251408747136823e-06,-1.343480291366577,8.504297219291794e-05,0.36186110973358154,5.793316981719666e-06,0.20005066924495624,0.44718527416778275,0.0005662272906477028,0.0006653121249333895,2.126501153409481
6,0.5,0.3931736087799072,1.6661689261247846e-06,-1.3434494280815126,3.2970723060790405e-05,0.36186197340488435,3.293214036644042e-06,0.20005066924495624,0.44718527416778275,0.0005662272906477028,0.0006653121249333895,2.126501153409481
6,1.0,0.3931743860244751,0.0,-1.3434275090694427,0.0,0.3618634521961212,0.0,0.20005066924495624,0.44718527416778275,0.0005662272906477028,0.0006653121249333895,2.126501153409481
6,2.0,0.3931775665283203,6.034477384490549e-06,-1.3433999633789062,3.3087364190180844e-05,0.36186775624752043,8.277357010135519e-06,0.20005066924495624,0.44718527416778275,0.0005662272906477028,0.0006653121249333895,2.126501153409481
6,4.0,0.3931893348693848,2.741693411139577e-05,-1.3433801710605622,4.4387512732359195e-05,0.36188124120235443,3.144505881779801e-05,0.20005066924495624,0.44718527416778275,0.0005662272906477028,0.0006653121249333895,2.126501153409481
7,0.0,0.39412088871002193,2.1702524425955834e-05,-1.1167117631435395,0.00014945784354160387,0.34707526832818986,2.7321859208741835e-05,0.2001558536599623,0.4471264989225839,0.004442539582960308,0.006936235104929165,5.896209502220154
7,0.5,0.3941188764572144,1.1376569151410125e-05,-1.1166606879234313,7.357002120725358e-05,0.34707599103450776,1.5203441112626752e-05,0.2001558536599623,0.4471264989225839,0.004442539582960308,0.006936235104929165,5.896209502220154
7,1.0,0.3941161870956421,0.0,-1.1166146874427796,0.0,0.3470789223909378,0.0,0.2001558536599623,0.4471264989225839,0.004442539582960308,0.006936235104929165,5.896209502220154
7,2.0,0.3941112327575683,2.305036938571765e-05,-1.1165276753902436,0.00015767074167363825,0.3470905509591103,3.751493576036782e-05,0.2001558536599623,0.4471264989225839,0.004442539582960308,0.006936235104929165,5.896209502220154
7,4.0,0.39411149978637694,5.518919840278181e-05,-1.1163659596443176,0.0004945072339195618,0.34712871223688124,0.00012563146884779318,0.2001558536599623,0.4471264989225839,0.004442539582960308,0.006936235104929165,5.896209502220154
8,0.0,0.3569800901412964,8.762922257764877e-05,-0.9645515072345734,0.0003471870055964508,0.3073108869791031,0.00010163443737697934,0.20159156881505624,0.4463324683841778,0.016399148596901798,0.02058518340815097,9.423678636550903
8,0.5,0.3569250535964966,2.1941896417877355e-05,-0.9643598151206969,0.0001481794856082172,0.3072617915272713,3.363148074871839e-05,0.20159156881505624,0.4463324683841778,0.016399148596901798,0.02058518340815097,9.423678636550903
8,1.0,0.3569013595581055,0.0,-0.9642092823982239,0.0,0.3072434812784195,0.0,0.20159156881505624,0.4463324683841778,0.016399148596901798,0.02058518340815097,9.423678636550903
8,2.0,0.3569112968444824,3.2869308296273466e-05,-0.9640034449100494,0.00019003819903020967,0.3072653350234032,6.975321271225267e-05,0.20159156881505624,0.4463324683841778,0.016399148596901798,0.02058518340815097,9.423678636550903
